key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,-0.000056;0.000002;0.001158;0.000117;-0.000195;-0.000968
b1,,,,-0.000113;0.000027;0.001838;0.000117;-0.000195;-0.000980
b2,,,,-0.000275;0.000133;0.002803;0.000120;-0.000194;-0.001016
b3,,,,-0.000680;0.000396;0.004469;0.000133;-0.000181;-0.001112
b4,,,,-0.000728;0.000425;0.004688;0.000136;-0.000178;-0.001130
b5,,,,-0.000897;0.000515;0.005662;0.000149;-0.000164;-0.001231
b6,,,,-0.000973;0.000537;0.006349;0.000160;-0.000151;-0.001313
b7,,,,-0.001010;0.000533;0.006832;0.000168;-0.000142;-0.001372
b8,,,,-0.001041;0.000503;0.007491;0.000179;-0.000129;-0.001446
b9,,,,-0.001048;0.000467;0.007948;0.000186;-0.000120;-0.001487
b10,,,,-0.001044;0.000424;0.008357;0.000193;-0.000111;-0.001521
b11,,,,-0.001016;0.000340;0.008991;0.000201;-0.000099;-0.001571
b12,,,,-0.000968;0.000245;0.009581;0.000207;-0.000088;-0.001608
b13,,,,-0.000906;0.000148;0.010128;0.000211;-0.000079;-0.001632
b14,,,,-0.000832;0.000052;0.010665;0.000213;-0.000071;-0.001652
b15,,,,-0.000750;-0.000043;0.011189;0.000213;-0.000066;-0.001665
b16,,,,-0.000670;-0.000127;0.011662;0.000211;-0.000063;-0.001663
b17,,,,-0.000599;-0.000207;0.012124;0.000207;-0.000062;-0.001649
b18,,,,-0.000548;-0.000277;0.012562;0.000202;-0.000063;-0.001636
b19,,,,-0.000510;-0.000338;0.012989;0.000195;-0.000065;-0.001616
b20,,,,-0.000476;-0.000384;0.013380;0.000187;-0.000068;-0.001601
b21,,,,-0.000416;-0.000424;0.013856;0.000176;-0.000074;-0.001571
b22,,,,-0.000362;-0.000435;0.014205;0.000166;-0.000080;-0.001528
b23,,,,-0.000311;-0.000426;0.014524;0.000156;-0.000088;-0.001492
b24,,,,-0.000267;-0.000404;0.014823;0.000146;-0.000097;-0.001475
b25,,,,-0.000230;-0.000376;0.015093;0.000137;-0.000107;-0.001458
b26,,,,-0.000195;-0.000343;0.015352;0.000128;-0.000119;-0.001434
b27,,,,-0.000159;-0.000309;0.015590;0.000119;-0.000131;-0.001424
b28,,,,-0.000115;-0.000274;0.015808;0.000111;-0.000145;-0.001407
b29,,,,-0.000070;-0.000238;0.016009;0.000104;-0.000160;-0.001380
b30,,,,-0.000029;-0.000199;0.016199;0.000097;-0.000177;-0.001352
b31,,,,0.000000;-0.000166;0.016366;0.000091;-0.000193;-0.001327
b32,,,,0.000016;-0.000132;0.016524;0.000086;-0.000211;-0.001283
b33,,,,0.000023;-0.000096;0.016675;0.000082;-0.000229;-0.001278
b34,,,,0.000040;-0.000060;0.016808;0.000079;-0.000247;-0.001319
b35,,,,0.000079;-0.000022;0.016938;0.000077;-0.000265;-0.001374
b36,,,,0.000128;0.000013;0.017052;0.000075;-0.000284;-0.001447
b37,,,,0.000183;0.000047;0.017160;0.000074;-0.000304;-0.001540
b38,,,,0.000238;0.000079;0.017262;0.000074;-0.000327;-0.001641
b39,,,,0.000290;0.000109;0.017349;0.000074;-0.000349;-0.001735
b40,,,,0.000340;0.000144;0.017433;0.000075;-0.000373;-0.001827
b41,,,,0.000377;0.000181;0.017503;0.000077;-0.000397;-0.001919
b42,,,,0.000402;0.000221;0.017568;0.000080;-0.000423;-0.002040
b43,,,,0.000411;0.000264;0.017643;0.000085;-0.000458;-0.002212
b44,,,,0.000380;0.000284;0.017703;0.000091;-0.000492;-0.002377
b45,,,,0.000327;0.000290;0.017737;0.000095;-0.000515;-0.002490
b46,,,,0.000242;0.000290;0.017775;0.000103;-0.000546;-0.002665
b47,,,,0.000183;0.000284;0.017796;0.000109;-0.000568;-0.002801
b48,,,,0.000122;0.000261;0.017816;0.000116;-0.000594;-0.002969
b49,,,,0.000077;0.000234;0.017828;0.000121;-0.000614;-0.003108
b50,,,,0.000036;0.000199;0.017835;0.000125;-0.000632;-0.003243
b51,,,,-0.000001;0.000158;0.017840;0.000129;-0.000649;-0.003361
b52,,,,-0.000043;0.000115;0.017844;0.000133;-0.000665;-0.003485
b53,,,,-0.000093;0.000076;0.017846;0.000136;-0.000680;-0.003617
b54,,,,-0.000153;0.000041;0.017847;0.000139;-0.000694;-0.003751
b55,,,,-0.000219;0.000008;0.017848;0.000141;-0.000706;-0.003869
b56,,,,-0.000292;-0.000022;0.017849;0.000143;-0.000716;-0.003982
b57,,,,-0.000365;-0.000046;0.017849;0.000144;-0.000724;-0.004082
b58,,,,-0.000439;-0.000068;0.017849;0.000145;-0.000731;-0.004153
b59,,,,-0.000512;-0.000085;0.017849;0.000145;-0.000736;-0.004209
b60,,,,-0.000581;-0.000097;0.017848;0.000145;-0.000739;-0.004257
b61,,,,-0.000638;-0.000102;0.017848;0.000145;-0.000741;-0.004270
b62,,,,-0.000674;-0.000099;0.017848;0.000145;-0.000742;-0.004264
