key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,0.000022;-0.000013;0.001356;0.000130;-0.000816;-0.000748
b1,,,,-0.000011;-0.000001;0.002136;0.000130;-0.000817;-0.000760
b2,,,,-0.000510;0.000164;0.004166;0.000137;-0.000810;-0.000797
b3,,,,-0.001126;0.000295;0.005597;0.000150;-0.000782;-0.000863
b4,,,,-0.001579;0.000338;0.006687;0.000163;-0.000743;-0.000951
b5,,,,-0.001805;0.000335;0.007324;0.000172;-0.000711;-0.001006
b6,,,,-0.001993;0.000308;0.007957;0.000180;-0.000675;-0.001078
b7,,,,-0.002123;0.000261;0.008534;0.000188;-0.000639;-0.001144
b8,,,,-0.002208;0.000192;0.009121;0.000195;-0.000598;-0.001208
b9,,,,-0.002244;0.000112;0.009670;0.000201;-0.000558;-0.001263
b10,,,,-0.002238;0.000031;0.010181;0.000204;-0.000519;-0.001305
b11,,,,-0.002196;-0.000050;0.010685;0.000207;-0.000480;-0.001344
b12,,,,-0.002127;-0.000127;0.011180;0.000208;-0.000441;-0.001374
b13,,,,-0.002051;-0.000192;0.011628;0.000207;-0.000407;-0.001385
b14,,,,-0.001982;-0.000248;0.012067;0.000205;-0.000374;-0.001382
b15,,,,-0.001936;-0.000291;0.012486;0.000202;-0.000342;-0.001376
b16,,,,-0.001906;-0.000324;0.012896;0.000198;-0.000311;-0.001362
b17,,,,-0.001861;-0.000345;0.013385;0.000192;-0.000273;-0.001350
b18,,,,-0.001808;-0.000348;0.013738;0.000188;-0.000245;-0.001333
b19,,,,-0.001744;-0.000337;0.014082;0.000183;-0.000218;-0.001299
b20,,,,-0.001674;-0.000314;0.014399;0.000180;-0.000194;-0.001280
b21,,,,-0.001598;-0.000281;0.014701;0.000177;-0.000172;-0.001294
b22,,,,-0.001514;-0.000248;0.014978;0.000175;-0.000152;-0.001320
b23,,,,-0.001419;-0.000215;0.015248;0.000174;-0.000133;-0.001354
b24,,,,-0.001322;-0.000184;0.015502;0.000173;-0.000117;-0.001402
b25,,,,-0.001232;-0.000158;0.015741;0.000173;-0.000103;-0.001437
b26,,,,-0.001163;-0.000133;0.015965;0.000174;-0.000092;-0.001472
b27,,,,-0.001121;-0.000110;0.016179;0.000176;-0.000081;-0.001512
b28,,,,-0.001107;-0.000092;0.016366;0.000178;-0.000072;-0.001545
b29,,,,-0.001121;-0.000077;0.016546;0.000180;-0.000063;-0.001553
b30,,,,-0.001156;-0.000062;0.016717;0.000183;-0.000053;-0.001588
b31,,,,-0.001184;-0.000054;0.016916;0.000188;-0.000041;-0.001730
b32,,,,-0.001179;-0.000059;0.017053;0.000192;-0.000032;-0.001871
b33,,,,-0.001154;-0.000074;0.017180;0.000195;-0.000023;-0.002023
b34,,,,-0.001115;-0.000098;0.017288;0.000199;-0.000016;-0.002170
b35,,,,-0.001054;-0.000134;0.017392;0.000201;-0.000010;-0.002323
b36,,,,-0.000974;-0.000175;0.017482;0.000204;-0.000006;-0.002456
b37,,,,-0.000877;-0.000218;0.017566;0.000205;-0.000003;-0.002586
b38,,,,-0.000773;-0.000260;0.017645;0.000205;-0.000003;-0.002710
b39,,,,-0.000674;-0.000297;0.017713;0.000205;-0.000005;-0.002826
b40,,,,-0.000575;-0.000334;0.017777;0.000203;-0.000009;-0.002949
b41,,,,-0.000489;-0.000363;0.017832;0.000201;-0.000014;-0.003056
b42,,,,-0.000411;-0.000383;0.017885;0.000198;-0.000022;-0.003161
b43,,,,-0.000349;-0.000391;0.017931;0.000194;-0.000031;-0.003255
b44,,,,-0.000300;-0.000389;0.017971;0.000191;-0.000041;-0.003345
b45,,,,-0.000262;-0.000375;0.018009;0.000187;-0.000052;-0.003442
b46,,,,-0.000236;-0.000352;0.018040;0.000184;-0.000063;-0.003535
b47,,,,-0.000221;-0.000322;0.018069;0.000181;-0.000075;-0.003633
b48,,,,-0.000219;-0.000291;0.018094;0.000178;-0.000086;-0.003721
b49,,,,-0.000228;-0.000261;0.018115;0.000176;-0.000098;-0.003809
b50,,,,-0.000248;-0.000232;0.018133;0.000175;-0.000109;-0.003899
b51,,,,-0.000282;-0.000207;0.018147;0.000174;-0.000119;-0.004003
b52,,,,-0.000328;-0.000190;0.018157;0.000174;-0.000129;-0.004131
b53,,,,-0.000380;-0.000184;0.018162;0.000175;-0.000137;-0.004256
b54,,,,-0.000437;-0.000190;0.018165;0.000176;-0.000145;-0.004400
b55,,,,-0.000490;-0.000207;0.018165;0.000178;-0.000150;-0.004548
b56,,,,-0.000543;-0.000236;0.018164;0.000180;-0.000155;-0.004675
b57,,,,-0.000590;-0.000268;0.018162;0.000181;-0.000158;-0.004766
b58,,,,-0.000623;-0.000292;0.018161;0.000181;-0.000159;-0.004826
b59,,,,-0.000639;-0.000304;0.018160;0.000182;-0.000159;-0.004844
b60,,,,-0.000641;-0.000305;0.018160;0.000182;-0.000159;-0.004838
b61,,,,-0.000641;-0.000305;0.018160;0.000182;-0.000159;-0.004838
b62,,,,-0.000641;-0.000305;0.018160;0.000182;-0.000159;-0.004838
b63,,,,-0.000641;-0.000305;0.018160;0.000182;-0.000159;-0.004838
b64,,,,-0.000641;-0.000305;0.018160;0.000182;-0.000159;-0.004838
l0,20.027404;-7.740396;0.171500,,,
l1,21.150489;-7.642891;0.182944,,,
l2,22.127868;-7.653833;0.192713,,,
l3,27.949099;-7.476115;0.251372,,,
l4,24.400462;-7.397868;0.215989,,,
l5,0.300107;5.502421;0.024478,,,
l6,18.816459;13.185642;0.201498,,,
l7,24.854017;13.859877;0.263318,,,
l8,32.294155;13.879940;0.337869,,,
l9,24.052129;14.077123;0.255725,,,
l10,26.584459;13.966137;0.280861,,,
l11,27.267198;14.036352;0.287840,,,
l12,22.654538;14.117139;0.241811,,,
l13,30.509545;14.233430;0.320708,,,
l14,14.832956;14.521900;0.164285,,,
l15,14.635245;16.107487;0.165495,,,
l16,15.907328;-10.636711;0.540279,,,
l17,19.688087;-7.172650;0.624283,,,
l18,20.514514;-7.155791;0.649436,,,
l19,22.516210;-7.097268;0.710617,,,
l20,23.284497;-7.058340;0.734141,,,
l21,23.916060;-7.034558;0.753559,,,
l22,25.276951;-6.983045;0.795523,,,
l23,22.288206;13.762042;0.806258,,,
l24,22.893199;13.961252;0.826242,,,
l25,14.744767;-8.185542;0.850379,,,
l26,31.393294;-6.928093;0.986130,,,
l27,33.422646;-6.313848;1.048348,,,
l28,24.065005;13.863340;0.858680,,,
l29,24.864724;13.822655;0.881355,,,
l30,27.954070;13.807304;0.971820,,,
l31,31.097052;13.882405;1.066234,,,
l32,32.972250;13.848403;1.122207,,,
l33,19.146916;-7.462528;1.056351,,,
l34,18.297524;-6.806373;1.004235,,,
l35,36.896679;13.482140;1.237609,,,
l36,34.262764;13.833086;1.161018,,,
l37,13.869860;14.846973;1.037497,,,
l38,14.165628;16.450883;1.104583,,,
l39,19.844230;12.987300;1.241604,,,
l40,45.102276;13.618542;1.490992,,,
l41,23.307067;13.775616;1.424481,,,
l42,23.906970;13.774367;1.453082,,,
l43,28.251159;-6.976598;1.521564,,,
l44,29.586602;-6.787606;1.590109,,,
l45,30.583613;-6.661131;1.641614,,,
l46,19.330503;-6.682205;1.501074,,,
l47,31.167276;-6.246102;1.669496,,,
l48,28.955504;13.315642;1.689594,,,
l49,28.204842;13.738620;1.661204,,,
l50,25.921897;13.806239;1.550972,,,
l51,13.933655;15.603130;1.521572,,,
l52,13.942590;-8.494199;1.530901,,,
l53,14.064112;-7.884761;1.515302,,,
l54,16.505396;-6.986499;1.698272,,,
l55,21.762232;-6.861893;1.680080,,,
l56,23.399388;-6.815355;1.798344,,,
l57,20.620490;13.053202;1.811293,,,
l58,32.770269;13.551096;1.885135,,,
l59,16.424001;13.841093;1.579202,,,
l60,14.536760;16.374531;1.593275,,,
l61,34.433073;13.514854;1.968500,,,
l62,14.834012;14.296101;1.956901,,,
l63,15.075030;-7.285766;1.947749,,,
l64,28.005376;-6.670313;2.134255,,,
l65,27.634581;12.896064;2.280591,,,
l66,25.943365;13.087030;2.169722,,,
l67,16.691143;13.293707;2.037632,,,
l68,24.104720;13.624093;2.062652,,,
l69,25.492420;13.579198;2.154816,,,
l70,14.190004;-7.780727;2.233868,,,
l71,22.552297;-6.841560;2.252614,,,
l72,31.280210;-5.955186;2.368566,,,
l73,28.773344;12.943646;2.361292,,,
l74,44.653271;13.416176;2.491564,,,
l75,19.698426;13.371271;2.283985,,,
l76,21.120028;13.455151;2.406383,,,
l77,14.464014;-8.684757;2.325906,,,
l78,25.252777;-7.288353;2.516537,,,
l79,26.158443;-7.159557;2.599081,,,
l80,20.313696;-6.716600;2.510220,,,
l81,33.933860;-5.443192;2.561717,,,
l82,34.335685;12.874922;2.752657,,,
l83,23.231784;13.431924;2.584459,,,
l84,16.682005;14.025962;2.557303,,,
l85,14.661595;15.110022;2.458493,,,
l86,14.449244;16.102397;2.522248,,,
l87,27.495779;-6.915501;2.720695,,,
l88,17.110710;-6.723258;2.553976,,,
l89,25.089740;13.009952;2.727116,,,
l90,15.857377;-7.163069;2.797467,,,
l91,23.007058;-7.053964;2.828948,,,
l92,28.749080;12.838342;3.045643,,,
l93,29.420739;12.844970;3.106423,,,
l94,21.283030;13.148963;2.954470,,,
l95,14.046662;15.265261;2.876319,,,
l96,17.276423;-7.439292;3.028204,,,
l97,20.672845;-6.839489;3.035839,,,
l98,20.903610;-5.834892;3.030254,,,
l99,22.693211;13.164288;3.102101,,,
l100,15.048899;-8.374222;3.145485,,,
l101,23.415872;-5.365439;3.361804,,,
l102,32.429384;12.992257;3.384908,,,
l103,25.251748;12.962496;3.362918,,,
l104,44.834276;13.199605;3.518799,,,
l105,44.180469;13.409509;3.475523,,,
l106,14.230226;14.629517;3.285218,,,
l107,20.988644;-5.422628;3.509863,,,
l108,26.593291;12.866706;3.503106,,,
l109,34.578648;12.857737;3.577522,,,
l110,15.714664;-7.394997;3.570196,,,
l111,18.877648;-6.831683;3.688792,,,
l112,19.593405;-6.001693;3.770567,,,
l113,26.597480;-5.483763;3.806438,,,
l114,28.440790;12.892637;3.706309,,,
l115,29.838215;12.930287;3.862131,,,
l116,14.866628;13.562572;3.694646,,,
l117,20.669656;-6.022393;3.964341,,,
l118,25.031743;12.939497;3.960331,,,
l119,15.844969;13.365542;3.810798,,,
l120,14.947631;14.340168;3.801448,,,
l121,14.605761;-10.669048;4.110467,,,
l122,14.929524;-9.588267;4.038395,,,
l123,15.430785;-8.880370;4.057393,,,
l124,16.627858;-6.274246;4.065092,,,
l125,18.281003;-6.271638;3.987048,,,
l126,26.878886;12.639463;4.179116,,,
l127,32.807756;13.251637;4.206506,,,
l128,14.323077;-8.131106;4.129746,,,
l129,15.471550;-7.100444;4.277373,,,
l130,17.023829;-7.112947;4.218452,,,
l131,22.593075;-6.182631;4.317742,,,
l132,26.356922;-5.206701;4.363359,,,
l133,28.087734;12.312185;4.317833,,,
l134,45.346540;12.667397;4.577499,,,
l135,35.687270;12.933041;4.517119,,,
l136,23.069486;12.961675;4.302197,,,
l137,14.081220;-10.015145;4.323912,,,
l138,15.234080;-6.210338;4.517678,,,
l139,21.066486;-5.572959;4.506575,,,
l140,47.808228;11.787307;4.789345,,,
l141,20.440393;12.950476;4.468067,,,
l142,17.838037;13.045426;4.569731,,,
l143,24.212309;13.121308;4.480091,,,
l144,24.529554;-6.062455;4.662815,,,
l145,41.648918;-5.162104;4.981336,,,
l146,26.791203;11.611773;4.758765,,,
l147,31.509504;11.918988;4.749567,,,
l148,19.583666;12.408398;4.801840,,,
l149,22.480257;12.880239;4.790518,,,
l150,39.327084;12.903059;4.929776,,,
l151,14.115851;-10.682124;4.838363,,,
l152,15.838669;-6.903034;4.744666,,,
l153,14.655759;-6.333603;4.756620,,,
l154,28.166123;11.561414;4.964726,,,
l155,21.060626;11.719025;4.998053,,,
l156,40.269404;12.470383;5.022392,,,
l157,16.469660;13.058467;4.818590,,,
l158,15.291700;-9.651011;4.952629,,,
