key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l0,19.924091;-7.854205;0.000000,,,
l1,21.047846;-7.764027;0.000000,,,
l2,22.025181;-7.781343;0.000000,,,
l3,27.847742;-7.641594;0.000000,,,
l4,24.299515;-7.540205;0.000000,,,
l5,0.283092;5.517057;0.023892,,,
l6,18.850019;13.079298;0.000000,,,
l7,24.892162;13.714139;0.000000,,,
l8,32.332642;13.685676;0.000000,,,
l9,24.091673;13.936611;0.000000,,,
l10,26.623348;13.809111;0.000000,,,
l11,27.306566;13.874870;0.000000,,,
l12,22.694304;13.985742;0.000000,,,
l13,30.550295;14.050798;0.000000,,,
l14,14.875142;14.441516;0.000000,,,
l15,14.687801;16.028360;0.000000,,,
l16,15.789121;-10.722771;0.415835,,,
l17,19.593040;-7.283371;0.455015,,,
l18,20.419769;-7.271870;0.471856,,,
l19,22.422318;-7.226322;0.512868,,,
l20,23.191040;-7.192376;0.528618,,,
l21,23.822906;-7.172688;0.541664,,,
l22,25.184458;-7.129996;0.569892,,,
l23,22.331341;13.634149;0.568801,,,
l24,22.937790;13.829435;0.582326,,,
l25,14.645737;-8.263453;0.732631,,,
l26,31.302631;-7.114686;0.699123,,,
l27,33.336468;-6.513613;0.739786,,,
l28,24.109200;13.723924;0.603225,,,
l29,24.908823;13.678052;0.617972,,,
l30,27.998753;13.642667;0.677527,,,
l31,31.142946;13.697391;0.740310,,,
l32,33.018349;13.651231;0.777570,,,
l33,19.054352;-7.568861;0.893063,,,
l34,18.208775;-6.907267;0.848135,,,
l35,36.941265;13.259528;0.854402,,,
l36,34.309055;13.627547;0.803486,,,
l37,13.922992;14.774582;0.882158,,,
l38,14.229874;16.376650;0.943051,,,
l39,19.886852;12.876262;1.030159,,,
l40,45.149704;13.342740;1.025321,,,
l41,23.356417;13.642262;1.176764,,,
l42,23.956556;13.637144;1.199359,,,
l43,28.165773;-7.141592;1.266096,,,
l44,29.503040;-6.961207;1.320882,,,
l45,30.501322;-6.841158;1.362146,,,
l46,19.247473;-6.788892;1.334354,,,
l47,31.087929;-6.429903;1.383345,,,
