key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,0.000020;-0.000452;0.000420;-0.000004;0.000483;-0.000528
b1,,,,0.000061;-0.001180;0.001108;-0.000004;0.000486;-0.000531
b2,,,,0.000160;-0.002181;0.002078;-0.000003;0.000490;-0.000535
b3,,,,0.000394;-0.003873;0.003653;0.000000;0.000492;-0.000543
b4,,,,0.000548;-0.004823;0.004430;0.000003;0.000489;-0.000547
b5,,,,0.000674;-0.005560;0.004970;0.000006;0.000485;-0.000549
b6,,,,0.000716;-0.005808;0.005140;0.000008;0.000484;-0.000550
b7,,,,0.000840;-0.006559;0.005620;0.000011;0.000477;-0.000553
b8,,,,0.000957;-0.007339;0.006070;0.000014;0.000468;-0.000555
b9,,,,0.001053;-0.008087;0.006457;0.000018;0.000458;-0.000557
b10,,,,0.001134;-0.008885;0.006828;0.000021;0.000447;-0.000559
b11,,,,0.001189;-0.009664;0.007154;0.000025;0.000434;-0.000561
b12,,,,0.001216;-0.010422;0.007438;0.000028;0.000422;-0.000562
b13,,,,0.001212;-0.011200;0.007699;0.000030;0.000410;-0.000564
b14,,,,0.001173;-0.011996;0.007934;0.000032;0.000399;-0.000566
b15,,,,0.001111;-0.012749;0.008129;0.000034;0.000390;-0.000568
b16,,,,0.001026;-0.013523;0.008301;0.000036;0.000384;-0.000570
b17,,,,0.000929;-0.014298;0.008447;0.000037;0.000381;-0.000571
b18,,,,0.000824;-0.015097;0.008573;0.000038;0.000381;-0.000573
b19,,,,0.000700;-0.016113;0.008700;0.000038;0.000386;-0.000575
b20,,,,0.000622;-0.016892;0.008772;0.000038;0.000393;-0.000577
b21,,,,0.000564;-0.017694;0.008828;0.000037;0.000402;-0.000579
b22,,,,0.000537;-0.018477;0.008867;0.000035;0.000413;-0.000580
b23,,,,0.000542;-0.019262;0.008892;0.000033;0.000425;-0.000582
b24,,,,0.000579;-0.020027;0.008905;0.000030;0.000437;-0.000583
b25,,,,0.000645;-0.020817;0.008908;0.000026;0.000449;-0.000584
b26,,,,0.000707;-0.021366;0.008904;0.000023;0.000457;-0.000585
b27,,,,0.000809;-0.022136;0.008891;0.000019;0.000466;-0.000586
