key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b0,,,,0.000090;-0.000470;0.000610;-0.000033;0.000071;-0.000997
b1,,,,0.000234;-0.001225;0.001603;-0.000033;0.000071;-0.001003
b2,,,,0.000427;-0.002255;0.002987;-0.000032;0.000072;-0.001010
b3,,,,0.000698;-0.003712;0.004916;-0.000029;0.000074;-0.001021
b4,,,,0.000746;-0.003977;0.005251;-0.000028;0.000075;-0.001023
b5,,,,0.000914;-0.004940;0.006404;-0.000023;0.000077;-0.001030
b6,,,,0.001044;-0.005693;0.007226;-0.000018;0.000078;-0.001034
b7,,,,0.001088;-0.005947;0.007488;-0.000016;0.000079;-0.001036
b8,,,,0.001179;-0.006481;0.008018;-0.000013;0.000079;-0.001039
b9,,,,0.001306;-0.007237;0.008720;-0.000007;0.000080;-0.001042
b10,,,,0.001433;-0.008025;0.009395;-0.000002;0.000081;-0.001046
b11,,,,0.001559;-0.008847;0.010042;0.000004;0.000082;-0.001049
b12,,,,0.001720;-0.009926;0.010813;0.000011;0.000083;-0.001053
b13,,,,0.001838;-0.010722;0.011328;0.000015;0.000085;-0.001055
b14,,,,0.001961;-0.011547;0.011821;0.000019;0.000086;-0.001057
b15,,,,0.002094;-0.012401;0.012291;0.000022;0.000088;-0.001059
b16,,,,0.002224;-0.013210;0.012701;0.000023;0.000089;-0.001061
b17,,,,0.002355;-0.014041;0.013092;0.000024;0.000090;-0.001062
b18,,,,0.002479;-0.014868;0.013450;0.000024;0.000092;-0.001064
b19,,,,0.002599;-0.015715;0.013786;0.000023;0.000093;-0.001065
b20,,,,0.002714;-0.016541;0.014082;0.000021;0.000095;-0.001066
b21,,,,0.002826;-0.017346;0.014344;0.000019;0.000097;-0.001067
b22,,,,0.002940;-0.018175;0.014586;0.000015;0.000099;-0.001068
b23,,,,0.003056;-0.019003;0.014804;0.000011;0.000102;-0.001068
b24,,,,0.003183;-0.019854;0.015004;0.000005;0.000105;-0.001069
b25,,,,0.003314;-0.020678;0.015175;-0.000001;0.000108;-0.001069
b26,,,,0.003453;-0.021499;0.015326;-0.000008;0.000111;-0.001070
b27,,,,0.003599;-0.022317;0.015456;-0.000016;0.000114;-0.001070
